0,3493
1,3555
2,3601
3,3640
4,3672
5,3677
6,3697
7,3700
8,3688
9,3670
10,3647
11,3603
12,3551
13,3490
14,3432
15,3341
16,3256
17,3168
18,3073
19,2972
20,2844
21,2739
22,2612
23,2485
24,2301
25,2219
26,2085
27,1945
28,1813
29,1677
30,1544
31,1408
32,1274
33,1147
34,1020
35,904
36,791
37,672
38,575
39,479
40,387
41,306
42,224
43,172
44,125
45,80
46,40
47,18
48,0
49,0
50,41
51,10
52,33
53,71
54,117
55,181
56,237
57,309
58,385
59,473
60,564
61,672
62,764
63,895
64,1022
65,1137
66,1265
67,1395
68,1533
69,1674
70,1808
71,1941
72,2109
73,2214
74,2347
75,2474
76,2604
77,2732
78,2846
79,2949
80,3063
81,3162
82,3253
83,3343
84,3419
85,3489
86,3552
87,3597
88,3639
89,3686
90,3695
91,3702
92,3706
93,3660
94,3672
95,3644
96,3607
97,3561
98,3501
99,3434
100,3360
101,3275
102,3179
103,3087
104,2984
105,2870
106,2754
107,2568
108,2509
109,2377
110,2243
111,2108
112,1976
113,1835
114,1704
115,1570
116,1437
117,1302
118,1171
119,1038
120,926
121,808
122,697
123,594
124,498
125,401
126,316
127,250
128,182
129,125
130,92
131,45
132,13
133,8
134,0
135,0
136,14
137,35
138,69
139,89
140,168
141,230
142,290
143,373
144,459
145,549
146,649
147,772
148,877
149,999
150,1120
151,1252
152,1386
153,1497
154,1653
155,1786
156,1917
157,2057
158,2195
159,2326
160,2460
161,2588
162,2711
163,2825
164,2945
165,3045
166,3150
167,3242
168,3334
169,3405
170,3471
171,3536
172,3596
173,3631
174,3666
175,3675
176,3703
177,3702
178,3696
179,3675
180,3651
181,3611
182,3565
183,3508
184,3451
185,3360
186,3285
187,3200
188,3102
189,2999
190,2886
191,2776
192,2634
193,2524
194,2394
195,2262
196,2131
197,1990
198,1854
199,1716
200,1578
201,1447
202,1307
203,1184
204,1066
205,942
206,816
207,714
208,609
209,539
210,416
211,331
212,266
213,194
214,140
215,90
216,55
217,29
218,6
219,5
220,0
221,24
222,34
223,48
224,105
225,153
226,212
227,282
228,348
229,443
230,546
231,643
232,749
233,858
234,982
235,1100
236,1242
237,1361
238,1491
239,1631
240,1772
241,1905
242,2040
243,2173
244,2305
245,2441
246,2568
247,2692
248,2812
249,2926
250,3034
251,3138
